train_loss,train_acc,train_timer,val_loss,val_acc,val_f1_score,val_auc,val_timer
4.38131046295166,0.1405505995887021,85.28767550003249,4.503988265991211,0.15047246660149885,0.02009116508585009,0.5776913740000321,24.374484400032088
3.251191020011902,0.36364930868148804,92.85660049994476,4.352020025253296,0.1690452916259368,0.040754442195375516,0.6599781050209134,24.90179110004101
2.7726948658625283,0.4137849360704422,85.08954820001964,2.9640601873397827,0.398533724340176,0.0799061470280832,0.7172967744793585,24.238344799960032
2.500893513361613,0.4492698510487874,85.32740639999975,2.5596330165863037,0.4617464972303682,0.09507187088225849,0.7870762655743047,24.665757599985227
2.3199480374654136,0.4820062418778737,84.79961190000176,2.275750160217285,0.5179537308569566,0.13395286837333975,0.8354214626315771,24.648732700035907
2.1756186882654824,0.5221383174260458,86.24059299996588,2.1213873624801636,0.5437927663734116,0.16464084659737066,0.8511082296112975,24.51004019996617
2.0500130653381348,0.5598398347695669,85.54696990002412,1.9150181412696838,0.6163245356793744,0.20557945346190887,0.872617740423877,24.565864200005308
1.9429997007052104,0.594300796588262,85.75910710007884,1.826819121837616,0.6496252851091561,0.245742286623022,0.8807222202630858,24.31296430004295
1.8497647643089294,0.6263796587785085,85.20552449999377,1.7023642659187317,0.6890192245030955,0.27976010440148785,0.9035083559014174,25.08093169995118
1.760493814945221,0.6596352557341257,86.42188719997648,1.600645899772644,0.7237862495927012,0.3204531587340758,0.9149811789431996,24.011625100043602
1.678847849369049,0.689884195725123,86.1078122999752,1.528157889842987,0.7463994786575432,0.350497651509482,0.9237219083640649,24.557897499995306
1.6070396502812703,0.7154421309630076,86.31225309998263,1.4975626468658447,0.7563701531443467,0.36826206931547273,0.9312336481906907,24.24428139999509
1.5433462063471477,0.7390711506207784,85.06107060005888,1.408515751361847,0.786770935158032,0.4114644521108788,0.9393154526104712,24.008420099969953
1.4888968269030254,0.7558713754018148,84.58880939998198,1.3632123470306396,0.8007494297816878,0.43310958001310446,0.9590625242249595,23.87796840001829
1.4418566226959229,0.7728735705216726,85.98978589999024,1.3231415152549744,0.8159335288367546,0.456178690277186,0.9578604477299817,24.246981400065124
1.4014402627944946,0.7871190706888834,84.23235079995357,1.2816125750541687,0.8302052785923754,0.48701437307068135,0.9638106252767475,24.19552519998979
1.3686561385790508,0.7991001506646475,85.30413870001212,1.2475024461746216,0.8399478657543173,0.506570973186906,0.9669750091798172,24.799468799959868
1.3374363382657368,0.8082580467065176,86.55479160009418,1.2320656776428223,0.8472792440534376,0.5292338096177267,0.9649241966716571,26.17584199993871
1.308850367863973,0.8190104862054189,92.06628360005561,1.1999584436416626,0.8572825024437928,0.5572907959220299,0.9731589301645693,26.860262500005774
1.2777779698371887,0.8305595914522806,84.67275110003538,1.1777098774909973,0.8664385793418051,0.5756419316105247,0.9729335531512114,23.6913504000986
1.256427526473999,0.8375132083892822,88.80306020006537,1.1534144878387451,0.8730856956663409,0.5948496100945789,0.9781964988322559,24.518326199962758
1.2317221959431965,0.8471840023994446,88.05369760002941,1.1396372318267822,0.8793743890518084,0.6254718049881626,0.9779857946537648,26.515189499943517
1.2120757301648457,0.8533135155836741,90.56492080003954,1.121120035648346,0.8864776800260671,0.6385870063744677,0.9846889873085201,26.209195200004615
1.1977584759394329,0.8599457939465841,89.47456260002218,1.1110230088233948,0.8904203323558162,0.6466807335358251,0.9858010098564713,26.070664099999703
1.1834146976470947,0.8641474445660909,88.58962660003453,1.1024858355522156,0.892831541218638,0.6653390868300688,0.989223995773818,26.02230439998675
1.1707215905189514,0.8689831594626108,88.08810339996126,1.083814263343811,0.8998370804822418,0.6946771601133132,0.9870718042506146,25.75850370002445
1.1553500890731812,0.8751701712608337,88.40118389995769,1.0790735483169556,0.9015966112740307,0.713745299363278,0.9890734751072364,25.39372600009665
1.1466025312741597,0.8784227669239044,88.03521430003457,1.0653796792030334,0.9090257412838058,0.7279614803196888,0.9899231028931527,25.710892400005832
1.1331917643547058,0.8832232852776846,87.67439129995182,1.05690997838974,0.9119257086999022,0.7309440834374745,0.9900689113640475,25.46565849997569
1.1211837728818257,0.8867823878924052,87.8127027999144,1.0414411425590515,0.9157706093189965,0.7401722386628218,0.992096846366906,25.607089500059374
